(-1.031392,-39.874304)
(-1.012100,-39.570609)
(-0.993343,-39.271528)
(-0.974926,-38.977072)
(-0.957032,-38.686907)
(-0.939499,-38.401082)
(-0.922324,-38.119640)
(-0.905531,-37.842271)
(-0.888993,-37.568969)
(-0.872937,-37.299647)
(-0.857107,-37.034176)
(-0.841698,-36.772462)
(-0.826542,-36.514482)
(-0.811828,-36.260238)
(-0.797201,-36.009482)
(-0.783143,-35.762162)
(-0.769169,-35.518367)
(-0.755496,-35.277774)
(-0.742167,-35.040550)
(-0.728998,-34.806404)
(-0.716211,-34.575617)
(-0.703583,-34.347637)
(-0.691280,-34.122923)
(-0.679093,-33.900891)
(-0.667291,-33.682070)
(-0.655539,-33.465819)
(-0.644209,-33.252577)
(-0.632896,-33.041804)
(-0.621886,-32.833910)
(-0.611104,-32.628616)
(-0.600561,-32.425768)
(-0.590200,-32.225586)
(-0.579982,-32.027840)
(-0.569960,-31.832529)
(-0.560065,-31.639570)
(-0.550415,-31.449044)
(-0.540843,-31.260604)
(-0.531557,-31.074725)
(-0.522370,-30.890885)
(-0.513343,-30.709188)
(-0.504567,-30.529746)
(-0.495722,-30.352407)
(-0.487261,-30.177076)
(-0.478835,-30.003780)
(-0.470630,-29.832440)
(-0.462500,-29.663155)
(-0.454546,-29.495680)
(-0.446641,-29.330161)
(-0.439042,-29.166558)
(-0.431342,-29.004752)
(-0.423904,-28.844756)
(-0.416520,-28.686401)
(-0.409288,-28.529892)
(-0.402145,-28.375039)
(-0.395192,-28.222083)
(-0.388289,-28.070513)
(-0.381573,-27.920663)
(-0.374951,-27.772418)
(-0.368363,-27.625798)
(-0.361823,-27.480622)
(-0.355520,-27.337061)
(-0.349132,-27.195006)
(-0.343083,-27.054480)
(-0.337012,-26.915243)
(-0.331037,-26.777555)
(-0.325110,-26.641248)
(-0.319367,-26.506312)
(-0.313563,-26.372820)
(-0.307913,-26.240579)
(-0.302441,-26.109708)
(-0.297026,-25.980158)
(-0.291600,-25.852001)
(-0.286281,-25.724720)
(-0.281121,-25.599105)
(-0.276000,-25.474603)
(-0.270794,-25.351087)
(-0.265851,-25.229074)
(-0.260966,-25.108109)
(-0.256078,-24.988413)
(-0.251213,-24.869772)
(-0.246520,-24.752163)
(-0.241932,-24.635735)
(-0.237387,-24.520388)
(-0.232702,-24.406234)
(-0.228291,-24.293038)
(-0.223974,-24.180889)
(-0.219570,-24.069856)
(-0.215240,-23.959773)
(-0.210990,-23.850717)
(-0.206813,-23.742615)
(-0.202803,-23.635580)
(-0.198716,-23.529469)
(-0.194649,-23.424419)
(-0.190654,-23.320088)
(-0.186839,-23.216839)
(-0.182951,-23.114492)
(-0.179135,-23.012997)
(-0.175429,-22.912398)
(-0.171718,-22.812689)
