(0.102286,-1.276570)
(0.196274,-1.322377)
(0.296295,-1.353436)
(0.400062,-1.369102)
(0.505219,-1.369038)
(0.609399,-1.353276)
(0.710267,-1.322220)
(0.805613,-1.276572)
(0.893320,-1.217376)
(0.971503,-1.146006)
(1.038469,-1.064027)
(1.092831,-0.973278)
(1.133464,-0.875801)
(1.159532,-0.773685)
(1.170614,-0.669211)
(1.166551,-0.564606)
(1.147542,-0.462187)
(1.114153,-0.364078)
(1.067217,-0.272397)
(1.007895,-0.189073)
(0.937596,-0.115775)
(0.858022,-0.054014)
(0.770983,-0.005052)
(0.678481,0.030274)
(0.582647,0.051298)
(0.485637,0.057764)
(0.389674,0.049704)
(0.296865,0.027486)
(0.209259,-0.008207)
(0.128811,-0.056408)
(0.057264,-0.115868)
(-0.003819,-0.185088)
(-0.053201,-0.262380)
(-0.089796,-0.345870)
(-0.112900,-0.433555)
(-0.122082,-0.523400)
(-0.117205,-0.613258)
(-0.098524,-0.701058)
(-0.066507,-0.784751)
(-0.021957,-0.862443)
(0.033996,-0.932330)
(0.100068,-0.992845)
(0.174681,-1.042604)
(0.256146,-1.080483)
(0.342543,-1.105647)
(0.431944,-1.117523)
(0.522308,-1.115877)
(0.611585,-1.100762)
(0.697794,-1.072526)
(0.779046,-1.031779)
(0.853499,-0.979508)
(0.919561,-0.916846)
(0.975786,-0.845191)
(1.020973,-0.766139)
(1.054197,-0.681449)
(1.074754,-0.593012)
(1.082268,-0.502715)
(1.076654,-0.412564)
(1.058120,-0.324500)
(1.027145,-0.240434)
(0.984493,-0.162139)
(0.931212,-0.091298)
(0.868534,-0.029371)
(0.797954,0.022354)
(0.721044,0.062823)
(0.639625,0.091298)
(0.555508,0.107231)
(0.470614,0.110425)
(0.386878,0.100920)
(0.306124,0.079088)
(0.230172,0.045532)
(0.160712,0.001128)
(0.099236,-0.052999)
(0.047110,-0.115520)
(0.005438,-0.184921)
(-0.024877,-0.259564)
(-0.043238,-0.337681)
(-0.049314,-0.417403)
(-0.042980,-0.496945)
(-0.024477,-0.574382)
(0.005705,-0.648006)
(0.046856,-0.716053)
(0.098020,-0.777010)
(0.157931,-0.829462)
(0.225237,-0.872232)
(0.298398,-0.904338)
(0.375710,-0.925083)
