(3.20713,-3.88497)
(-3.78742,16.1183)
(-0.879057,0.367822)
(7.198,4.49153)
(-6.73525,3.594)
(-1.64,0.282852)
(1.08582,7.47063)
(-1.73865,-1.81963)
(-4.59735,2.71626)
(-0.802917,-0.679367)
(0.710253,4.84139)
(-4.20886,-2.18737)
(-0.73465,-1.13272)
(-2.29727,2.22687)
(0.609218,-2.17625)
(1.39238,-0.563496)
(1.25876,-0.518059)
(0.0642504,-0.176207)
(0,0)
(0.244859,-0.666913)
(0.426911,-1.03684)
(1.29584,-0.42085)
(0.440195,-0.565708)
(2.2136,-2.06923)
(0.210787,-0.750973)
(3.97525,1.49571)
(0.555453,-0.0808414)
(3.90175,-2.68064)
(1.37206,3.70911)
(0.494411,0.219776)
(5.97535,0.4785)
(-0.40501,-1.58488)
(0.436144,-3.62989)
(6.10606,11.0786)
(0.172118,0.55651)
(6.75973,-0.956491)
(-1.51289,5.82898)
(-0.311936,1.03503)
(5.77921,4.51801)
(-1.24652,-0.246263)
(-1.45519,6.26871)
(-0.540302,0.248362)
(5.04596,4.1918)
(-5.26723,2.10558)
(-0.808517,-0.0804849)
(0.72089,5.82789)
(0.733739,-2.35925)
(4.14349,-2.24153)
(4.27766,-2.61631)
(-12.1463,12.7179)
(-0.518245,-0.269449)
(2.24917,3.22756)
(-3.56907,-0.298363)
(-0.790352,-0.506168)
(-0.934958,2.49895)
(-0.4933,-1.4773)
(-1.10461,-0.249352)
(-0.061935,-0.626144)
(-0.196917,0.608039)
(-0.112008,-1.09326)
(0.087127,-0.714311)
(0.387302,-0.831541)
(0.114983,-1.27535)
(-0.287783,-1.27162)
(4.48491,1.54211)
(0.44921,-0.189351)
(1.96995,-2.05845)
(1.55435,2.00706)
(0.50014,0.157431)
(4.08789,-0.381924)
(-0.0341398,-0.162348)
(2.32649,3.85417)
(0.178258,0.223931)
(4.90166,-0.132629)
(-1.47895,3.74537)
(-0.0788266,0.184324)
(4.17917,3.16935)
(0.0451559,-2.37174)
(2.17506,-4.87808)
(1.83218,-5.73691)
(-1.57092,20.7512)
(-0.282661,0.411283)
(5.2302,1.7946)
(-3.50428,3.30909)
(-0.809183,0.484926)
(2.16325,4.87057)
(-1.10828,-0.76053)
(-2.83885,3.16804)
(-0.561886,-0.151402)
(1.63798,3.81428)
(-3.74983,-0.479495)
(-0.690862,-0.423104)
(-1.40527,3.07796)
(0.291173,-1.36162)
(1.26741,-0.193228)
(-3.26577,0.871505)
(-0.141315,-0.481113)
(0.095528,1.47331)
(-0.961221,-1.12733)
(-0.108545,-0.59642)
(-0.378235,0.0595687)
(0.167276,-1.0031)
(0.854249,0.0431112)
(0.229202,-0.359714)
(0.950129,-0.783667)
(0.577106,0.639299)
(0.230398,-0.375605)
(2.16798,-0.368198)
(-0.0961638,-1.59128)
(-0.387254,-3.24014)
(-0.986425,-3.77806)
(7.3821,10.5301)
(0.334038,0.287799)
(3.75411,-1.21941)
(0.0720706,3.4729)
(0.123394,0.636006)
(4.28866,2.05447)
(-0.491586,-0.000222795)
(0.025333,4.65603)
(-0.195777,0.366949)
(4.22441,2.3441)
(-3.33618,2.57724)
(-0.50358,0.314046)
(1.53522,4.72523)
(0.222295,-1.29636)
(2.2152,-1.17092)
(-4.84174,6.7194)
(-0.469782,0.00031771)
(2.46809,3.4494)
(-3.81346,0.383955)
(-0.806732,-0.185633)
(-0.929967,3.71701)
(-0.439787,-1.17915)
(-2.73201,0.390737)
(-0.23829,-0.480558)
(-0.609961,2.45806)
(-1.58192,-1.88258)
(-0.115336,-0.686953)
(-1.54981,0.626551)
(0.747596,-0.92065)
(0.810602,0.0162628)
(0.736542,0.00776967)
(0.0699886,-0.0726976)
(0,0)
(0.267015,-0.276211)
(0.437432,-0.428246)
(0.74994,0.0675582)
(0.346058,-0.187824)
(1.56863,-0.581127)
(0.273168,-0.340076)
(1.7337,1.6317)
(0.305396,0.0831694)
(2.59494,-0.544417)
(-0.0791602,2.23004)
(0.213614,0.222282)
(3.02951,1.54699)
(0.15252,-0.927609)
(1.02968,-1.82701)
(0.802523,7.26389)
(-0.0315217,0.336786)
(3.81694,0.986691)
(-2.09902,2.7948)
(-0.394228,0.485448)
(2.11287,3.72916)
(-0.598733,-0.409705)
(-2.21705,3.10007)
(-0.348038,0.0130825)
(1.81364,3.43752)
(-3.36894,-0.0349707)
(-0.417183,-0.227508)
(-0.925425,3.39093)
(0.971156,-1.1249)
(2.84663,-0.290335)
(3.013,-0.473654)
(-9.83396,4.333)
(-0.22457,-0.271601)
(0.518362,2.34619)
(-1.94674,-1.00051)
(-0.322991,-0.470551)
(-1.11573,1.20526)
(0.074375,-0.952325)
(-0.574329,-0.403787)
(0.118334,-0.371477)
(-0.253288,0.305711)
(0.201692,-0.654003)
(0.226223,-0.389453)
(0.431889,-0.387348)
(0.379381,-0.715848)
(0.141938,-0.814006)
(2.27331,2.01519)
(0.312887,0.00270569)
(1.67178,-0.73065)
(0.432666,1.57839)
(0.25987,0.219117)
(2.53546,0.784784)
(0.0283263,-0.107579)
(0.438568,2.90773)
(0.0517843,0.18121)
(2.99034,1.14684)
(-1.83006,1.90033)
(-0.0895539,0.0910031)
(1.74933,2.97948)
(0.646045,-1.43455)
(2.57917,-2.44136)
(2.58896,-3.06316)
(-6.28928,12.4173)
(-0.279069,0.181717)
(2.77145,2.44714)
(-3.01785,1.15604)
(-0.623212,0.09262)
(0.0945302,3.59036)
(-0.483656,-0.754526)
(-2.60841,1.25269)
(-0.310333,-0.240748)
(0.0389959,2.8246)
(-2.23703,-1.27749)
(-0.320607,-0.445509)
(-1.69244,1.58373)
(0.548732,-0.77788)
